sample,condition,level
DZ_curves_002_1,1,0.02
DZ_curves_002_2,1,0.02
DZ_curves_002_3,1,0.02
DZ_curves_003_1,1,0.03
DZ_curves_003_2,1,0.03
DZ_curves_003_3,1,0.03
DZ_curves_004_1,1,0.04
DZ_curves_004_2,1,0.04
DZ_curves_004_3,1,0.04
DZ_curves_005_1,1,0.05
DZ_curves_005_2,1,0.05
DZ_curves_005_3,1,0.05
DZ_curves_0075_1,1,0.075
DZ_curves_0075_2,1,0.075
DZ_curves_0075_3,1,0.075
DZ_curves_01_1,1,0.1
DZ_curves_01_2,1,0.1
DZ_curves_01_3,1,0.1
DZ_curves_1_1,1,1
DZ_curves_1_2,1,1
DZ_curves_1_3,1,1
DZ_curves_0_1,0,0
DZ_curves_0_2,0,0
DZ_curves_0_3,0,0